KE_HEOM(eV)	HEOM_Probability(eV^-1)
0.0002062797 8.890867739022796e-8
0.0008251187 3.181181359790929e-7
0.001856517 6.270073270781451e-7
0.003300475 9.901394941932366e-7
0.005156992 1.360279958832578e-6
0.007426068 1.5641638600212353e-6
0.0101077 1.3432250333907045e-6
0.0132019 6.256256747114489e-7
0.01670865 -2.1460250798557156e-7
0.02062797 -5.848833125505122e-7
0.02495984 -3.455293650421851e-7
0.02970427 -1.2488873175770058e-8
0.03486126 -3.409574440155568e-8
0.04043081 -2.257753348102778e-7
0.04641292 -2.4021903876457844e-7
0.05280759 -4.9179401316174746e-8
0.05961482 3.9516924949026975e-7
0.06683461 1.1796801620561476e-6
0.07446696 1.7592291076412635e-6
0.08251187 1.3439231085371518e-6
0.09096933 2.8130833629944014e-7
0.09983936 -2.4124708671129865e-7
0.1091219 -5.6500187141702166e-8
0.1188171 -7.81859241864212e-8
0.1289248 -5.104632826857995e-7
0.1394451 -7.092733446428442e-7
0.1503779 -7.301751498221697e-7
0.1617233 -1.1766453111650611e-6
0.1734812 -1.564031928892831e-6
0.1856517 -6.807260580828545e-7
0.1982348 1.2777506589281182e-6
0.2112304 2.5605106413162667e-6
0.2246386 2.093177239277737e-6
0.2384593 5.597354997254956e-7
0.2526926 -7.424740305746965e-7
0.2673384 -9.446457266793368e-7
0.2823969 -4.372510750526658e-8
0.2978678 4.977351183385416e-7
0.3137514 -9.790701825615861e-7
0.3300475 -3.191854733058104e-6
0.3467561 -2.75055670688645e-6
0.3638773 4.1681291355316134e-7
0.3814111 2.2806963163115597e-6
0.3993574 7.669404408683937e-7
0.4177163 -1.7964336858512956e-6
0.4364878 -3.0648050564046967e-6
0.4556718 -2.914521003225923e-6
0.4752683 -1.4793770880284411e-6
0.4952775 5.874836605934361e-7
0.5156992 1.042365083778785e-6
0.5365334 -5.995236083840615e-7
0.5577802 -8.697959782821071e-7
0.5794396 2.2066873026545683e-6
0.6015115 4.894170781615391e-6
0.623996 4.0221683639451676e-6
0.646893 2.467067157590478e-6
0.6702026 2.5154104924986504e-6
0.6939248 1.2156783678272205e-6
0.7180595 -1.700212399465916e-6
0.7426068 -1.5238436774711926e-6
0.7675666 1.5949922502892626e-6
0.792939 2.5043282777126832e-6
0.818724 6.861363941815294e-7
0.8449215 -1.2399460115527393e-6
0.8715316 -3.290626204661761e-6
0.8985542 -5.330142269701796e-6
0.9259894 -6.656722813941301e-6
0.9538372 -7.222623266824092e-6
0.9820975 -3.717949679770892e-6
1.01077 4.2738784590145035e-6
1.039856 7.006786840339785e-6
1.069354 1.3318258939380432e-6
1.099264 -7.704476341950202e-7
1.129587 3.283188768522042e-6
1.160323 1.8845462821139758e-6
1.191471 -3.907668092208993e-6
1.223032 -8.208354666556741e-7
1.255005 1.6119823700010295e-5
1.287391 4.3509566836476716e-5
1.32019 7.042487983603054e-5
1.353401 8.646251479242279e-5
1.387024 0.0001097267715436846
1.421061 0.00016607780402065885
1.455509 0.00023960287690115144
1.490371 0.0003104455434764379
1.525644 0.0004000527309508991
1.561331 0.0005080225568103187
1.59743 0.000598329559182371
1.633941 0.0006936287774615398
1.670865 0.0008510121751410888
1.708202 0.0010477557026978303
1.745951 0.00122629940358082
1.784113 0.001396208574557899
1.822687 0.0015907095628902902
1.861674 0.001808609044272613
1.901073 0.002041466036113704
